kyu,waza,taijutsu,embeded,disco_tissier,otro
5,suwari waza,shomen uchi nikyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/KPZeW9Zr4_c?si=y4nbVKxpq2PH5bq_&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=353,
5,tachi waza,shomen uchi nikyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/3OPCHI8fyFM?si=MekLAg8Ig1BOcDiY&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=67,
5,suwari waza,shomen uchi nikyo ura,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/R3e6aTxP_DA?si=AH2K3iSOM-gzU4EX&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=383,
5,tachi waza,shomen uchi nikyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/VDc_cRWDaX8?si=MB_FfFr0ETON-XJb&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=104,
5,suwari waza,shomen uchi sankyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/cNopeDu0_eo?si=BapLW5xMQRRVo1vN&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=412,
5,suwari waza,shomen uchi sankyo ura,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/8VcayghSyPY?si=0-INjw8FoQwoxM77&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=439,
4,suwari waza,kata dori nikyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/Hz2J2kM5hus?si=sQW87DQVqtHuaUeh&amp;start=4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,https://www.youtube.com/watch?v=BvtjG8GdeG0
4,suwari waza,kata dori nikyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/Hz2J2kM5hus?si=NWoQCAJgqDgiD-sW&amp;start=27"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
4,tachi waza,ryote dori kokyu nage,"<div class=""ratio ratio-16x9""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/elxmgH0Qh2Y?si=rDkUuTq46sKfcYuF&amp;start=7"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,https://youtu.be/POvsOnN6yM4?si=Q7-0ZyaKLVpf3BZh&t=623
4,tachi waza,ryote dori shiho nage omote ,,,
